כמה ימי בריאה היו? | שישה (והשביעי שבת)
כמה שעות יש ביממה? | 24
כמה דקות יש בשעה? | שישים
כמה ימים יש בשנה רגילה? | 365
כמה ימים יש בחודש פברואר בשנה רגילה? | 28
מהי המדינה שבה נמצא מגדל אייפל? | צרפת
באיזו מדינה נמצאות הפירמידות? | מצרים
באיזו מדינה נמצאת החומה הגדולה? | סין
איך קוראים למטבע של ארצות הברית? | דולר
איך קוראים למטבע של ישראל? | שקל
איך קוראים למטבע של רוב מדינות אירופה? | אירו
כמה אגורות יש בשקל? | מאה
מהו כלי הנגינה עם 88 קלידים? | פסנתר
כמה מיתרים יש לכינור? | ארבעה
איזה כלי נגינה תוקעים בראש השנה? | שופר
ממה עשוי השופר? | מקרן של איל
כמה צלעות יש למשולש? | שלוש
כמה צלעות יש לריבוע? | ארבע
כמה מעלות יש בזווית ישרה? | תשעים
כמה זה שבע כפול שמונה? | 56
כמה זה תשע כפול תשע? | 81
כמה זה מאה חלקי ארבע? | 25
מהו המספר הראשוני הקטן ביותר? | שתיים
כמה אפסים יש במיליון? | שישה
מהי הגימטריה של המילה "חי"? | 18
מהי הגימטריה של האות ק'? | מאה
כמה אותיות יש באלף-בית העברי? | 22
כמה אותיות סופיות יש בעברית? | חמש
מהי האות האחרונה באלף-בית? | ת'
איזו אות מופיעה הכי הרבה בתורה? | ו'
מה ההפך של "קר"? | חם
מה ההפך של "אור"? | חושך
מה ההפך של "מהר"? | לאט
כמה עונות יש בשנה? | ארבע
כמה שיניים יש לאדם מבוגר? | 32
כמה עצמות יש בגוף האדם המבוגר? | 206
איזה איבר שואב דם בגוף? | הלב
בעזרת איזה איבר אנחנו נושמים? | הריאות
איפה נמצא עצם הזרת הקטנה ביותר? | באוזן (עצם הארכובה)
כמה אצבעות יש בשתי הידיים? | עשר
מה שותה הפרה כדי לייצר חלב? | מים
ממה מכינים גבינה? | מחלב
ממה מכינים לחם? | מקמח
איזה מאכל מטגנים בחנוכה? | לביבות וסופגניות
איזה מאכל משולש אוכלים בפורים? | אוזני המן
מה טובלים בדבש בראש השנה? | תפוח
כמה סעודות אוכלים בשבת? | שלוש
מהו "היום הקצר" ביותר בשנה בחורף? | כ"א בדצמבר
באיזו עונה נושרים העלים? | סתיו
באיזו עונה פורחים רוב הפרחים? | אביב
מאיפה זורח השמש? | מהמזרח
לאן שוקעת השמש? | למערב
מה נוצר בשמיים אחרי גשם ושמש? | קשת
ממה עשוי ענן? | טיפות מים זעירות
מה מודד מד החום? | טמפרטורה
איך נקרא מדען שחוקר כוכבים? | אסטרונום
איך נקרא הרופא המטפל בעיניים? | רופא עיניים
מי מכבה שריפות? | כבאי
מי אופה לחם? | אופה
מי מתקן נעליים? | סנדלר
